date,product,category,branch,units_sold,unit_price,revenue,net_revenue,stock_qty,reorder_level
2026-06-22,Cold Coffee,Beverages,DHA Campus,7,115.82,810.74,753.9882,174.0,53.0
2026-06-25,Mineral Water 500Ml,Beverages,DHA Campus,2,46.63,93.26,86.73179999999999,,
2026-06-02,Highlighter Set,Stationery,Gulberg Campus,8,225.31,1802.48,1712.356,97.0,41.0
2026-06-19,Samosa,Snacks,Model Town Campus,9,41.83,376.46999999999997,353.88179999999994,157.0,32.0
2026-06-30,Samosa,Snacks,Gulberg Campus,5,41.95,209.75,199.2625,157.0,32.0
2026-06-19,Samosa,Snacks,DHA Campus,2,40.52132075471698,81.04264150943396,75.36965660377358,157.0,32.0
2026-06-12,Gel Pen Pack,Stationery,DHA Campus,1,77.05,77.05,71.6565,124.0,23.0
2026-06-06,Potato Chips,Snacks,Model Town Campus,2,48.55,97.1,91.27399999999999,174.0,21.0
2026-06-22,Usb Flash Drive 32Gb,Electronics,Model Town Campus,9,957.63,8618.67,8101.5498,,
2026-06-03,Cold Coffee,Beverages,Gulberg Campus,10,117.68,1176.8000000000002,1117.96,174.0,53.0
2026-06-06,Gel Pen Pack,Stationery,Gulberg Campus,10,78.68,786.8000000000001,747.46,124.0,23.0
2026-06-30,Energy Drink,Beverages,DHA Campus,11,161.76,1779.36,1654.8048,162.0,32.0
2026-06-09,Highlighter Set,Stationery,Model Town Campus,7,216.17,1513.1899999999998,1422.3985999999998,97.0,41.0
2026-06-10,Potato Chips,Snacks,Model Town Campus,5,51.48,257.4,241.95599999999996,174.0,21.0
2026-06-19,Usb Flash Drive 32Gb,Electronics,Gulberg Campus,6,922.3782692307692,5534.2696153846155,5257.5561346153845,,
2026-06-23,Samosa,Snacks,Model Town Campus,8,38.78,310.24,291.6256,157.0,32.0
2026-06-08,Samosa,Snacks,DHA Campus,6,39.87,239.21999999999997,222.47459999999995,157.0,32.0
2026-06-15,Gel Pen Pack,Stationery,Gulberg Campus,1,84.09,84.09,79.8855,124.0,23.0
2026-06-20,Cold Coffee,Beverages,Gulberg Campus,4,121.92,487.68,463.296,174.0,53.0
2026-06-26,Notebook A4,Stationery,DHA Campus,3,151.34,454.02,422.23859999999996,43.0,34.0
2026-06-08,Chicken Patty,Snacks,Model Town Campus,2,61.8,123.6,116.18399999999998,165.0,35.0
2026-06-23,Notebook A4,Stationery,DHA Campus,2,142.74,285.48,265.4964,43.0,34.0
2026-06-30,Energy Drink,Beverages,Gulberg Campus,3,156.78,470.34000000000003,446.82300000000004,162.0,32.0
2026-06-08,Mineral Water 500Ml,Beverages,DHA Campus,8,43.16,345.28,321.11039999999997,,
2026-06-03,Energy Drink,Beverages,Model Town Campus,7,151.77,1062.39,998.6466,162.0,32.0
2026-06-06,Energy Drink,Beverages,Model Town Campus,6,157.71,946.26,889.4843999999999,162.0,32.0
2026-06-18,Earphones Basic,Electronics,Gulberg Campus,10,373.19,3731.9,3545.305,164.0,51.0
2026-06-17,Earphones Basic,Electronics,DHA Campus,3,372.28,1116.84,1038.6611999999998,164.0,51.0
2026-06-12,Cold Coffee,Beverages,DHA Campus,4,126.89,507.56,472.03079999999994,174.0,53.0
2026-06-12,Samosa,Snacks,Gulberg Campus,7,41.9,293.3,278.635,157.0,32.0
2026-06-27,Mineral Water 500Ml,Beverages,Gulberg Campus,8,48.51,388.08,368.676,,
2026-06-23,Earphones Basic,Electronics,DHA Campus,4,365.09,1460.36,1358.1347999999998,164.0,51.0
2026-06-18,Mineral Water 500Ml,Beverages,Model Town Campus,10,47.2,472.0,443.67999999999995,,
2026-06-09,Samosa,Snacks,DHA Campus,7,41.49,290.43,270.0999,157.0,32.0
2026-06-22,Mineral Water 500Ml,Beverages,Gulberg Campus,1,45.04,45.04,42.788,,
2026-06-03,Highlighter Set,Stationery,Model Town Campus,8,228.05,1824.4,1714.936,97.0,41.0
2026-06-21,Mineral Water 500Ml,Beverages,DHA Campus,9,47.2,424.8,395.06399999999996,,
2026-06-27,Notebook A4,Stationery,DHA Campus,10,158.59,1585.9,1474.887,43.0,34.0
2026-06-26,Cold Coffee,Beverages,DHA Campus,7,117.96,825.7199999999999,767.9195999999998,174.0,53.0
2026-06-21,Chicken Patty,Snacks,Model Town Campus,6,57.38,344.28000000000003,323.6232,165.0,35.0
2026-06-13,Highlighter Set,Stationery,Model Town Campus,10,234.92,2349.2,2208.2479999999996,97.0,41.0
2026-06-05,Notebook A4,Stationery,Model Town Campus,2,152.85,305.7,287.35799999999995,43.0,34.0
2026-06-19,Notebook A4,Stationery,Gulberg Campus,1,146.62,146.62,139.289,43.0,34.0
2026-06-02,Chicken Patty,Snacks,Model Town Campus,1,59.02,59.02,55.4788,165.0,35.0
2026-06-16,Highlighter Set,Stationery,DHA Campus,6,232.78,1396.68,1298.9124,97.0,41.0
2026-06-14,Cold Coffee,Beverages,DHA Campus,8,116.65,933.2,867.876,174.0,53.0
2026-06-09,Notebook A4,Stationery,Model Town Campus,6,152.97,917.8199999999999,862.7507999999999,43.0,34.0
2026-06-02,Notebook A4,Stationery,Model Town Campus,8,142.61,1140.88,1072.4272,43.0,34.0
2026-06-15,Chicken Patty,Snacks,Model Town Campus,1,59.94,59.94,56.343599999999995,165.0,35.0
2026-06-15,Notebook A4,Stationery,DHA Campus,1,152.92,152.92,142.21559999999997,43.0,34.0
2026-06-20,Gel Pen Pack,Stationery,DHA Campus,9,83.47,751.23,698.6438999999999,124.0,23.0
2026-06-01,Potato Chips,Snacks,Gulberg Campus,10,50.91,509.09999999999997,483.6449999999999,174.0,21.0
2026-06-13,Mineral Water 500Ml,Beverages,DHA Campus,1,47.9,47.9,44.547,,
2026-06-28,Mineral Water 500Ml,Beverages,DHA Campus,9,45.64,410.76,382.00679999999994,,
2026-06-24,Earphones Basic,Electronics,Gulberg Campus,1,358.72,358.72,340.784,164.0,51.0
2026-06-02,Mineral Water 500Ml,Beverages,Model Town Campus,5,45.02,225.10000000000002,211.59400000000002,,
2026-06-02,Samosa,Snacks,Gulberg Campus,8,38.18,305.44,290.168,157.0,32.0
2026-06-27,Chicken Patty,Snacks,Gulberg Campus,4,61.87,247.48,235.10599999999997,165.0,35.0
2026-06-23,Samosa,Snacks,DHA Campus,10,39.78,397.8,369.954,157.0,32.0
2026-06-02,Notebook A4,Stationery,Gulberg Campus,6,146.55,879.3000000000001,835.335,43.0,34.0
2026-06-22,Notebook A4,Stationery,Gulberg Campus,3,151.95520833333333,455.865625,433.07234375,43.0,34.0
2026-06-09,Samosa,Snacks,DHA Campus,4,38.69,154.76,143.9268,157.0,32.0
2026-06-28,Notebook A4,Stationery,Model Town Campus,9,147.7,1329.3,1249.542,43.0,34.0
2026-06-13,Notebook A4,Stationery,DHA Campus,7,150.97,1056.79,982.8146999999999,43.0,34.0
2026-06-24,Gel Pen Pack,Stationery,DHA Campus,4,77.3,309.2,287.556,124.0,23.0
2026-06-08,Mineral Water 500Ml,Beverages,Model Town Campus,6,44.85,269.1,252.954,,
2026-06-14,Highlighter Set,Stationery,DHA Campus,8,226.74,1813.92,1686.9456,97.0,41.0
2026-06-05,Energy Drink,Beverages,DHA Campus,11,158.42,1742.62,1620.6365999999998,162.0,32.0
2026-06-04,Usb Flash Drive 32Gb,Electronics,Model Town Campus,7,961.1,6727.7,6324.038,,
2026-06-24,Highlighter Set,Stationery,DHA Campus,5,235.38,1176.9,1094.517,97.0,41.0
2026-06-24,Usb Flash Drive 32Gb,Electronics,Model Town Campus,3,941.16,2823.48,2654.0712,,
2026-06-09,Gel Pen Pack,Stationery,DHA Campus,3,80.84,242.52,225.5436,124.0,23.0
2026-06-20,Notebook A4,Stationery,Gulberg Campus,5,146.15,730.75,694.2125,43.0,34.0
2026-06-24,Usb Flash Drive 32Gb,Electronics,DHA Campus,11,907.75,9985.25,9286.2825,,
2026-06-12,Usb Flash Drive 32Gb,Electronics,Model Town Campus,7,946.41,6624.87,6227.377799999999,,
2026-06-19,Cold Coffee,Beverages,DHA Campus,9,127.89,1151.01,1070.4393,174.0,53.0
2026-06-03,Potato Chips,Snacks,Gulberg Campus,3,52.51,157.53,149.6535,174.0,21.0
2026-06-22,Energy Drink,Beverages,Gulberg Campus,8,146.97,1175.76,1116.972,162.0,32.0
2026-06-10,Cold Coffee,Beverages,Model Town Campus,10,121.82,1218.1999999999998,1145.1079999999997,174.0,53.0
2026-06-13,Usb Flash Drive 32Gb,Electronics,Model Town Campus,4,899.02,3596.08,3380.3151999999995,,
2026-06-14,Usb Flash Drive 32Gb,Electronics,DHA Campus,10,856.42,8564.199999999999,7964.705999999998,,
2026-06-23,Gel Pen Pack,Stationery,Gulberg Campus,4,80.75,323.0,306.84999999999997,124.0,23.0
2026-06-04,Chicken Patty,Snacks,DHA Campus,5,58.94,294.7,274.07099999999997,165.0,35.0
2026-06-12,Notebook A4,Stationery,Model Town Campus,10,151.11,1511.1000000000001,1420.434,43.0,34.0
2026-06-04,Mineral Water 500Ml,Beverages,Gulberg Campus,1,43.45,43.45,41.2775,,
2026-06-20,Usb Flash Drive 32Gb,Electronics,Model Town Campus,1,926.44,926.44,870.8536,,
2026-06-13,Samosa,Snacks,Gulberg Campus,2,38.42,76.84,72.998,157.0,32.0
2026-06-05,Samosa,Snacks,Model Town Campus,1,38.78,38.78,36.4532,157.0,32.0
2026-06-15,Energy Drink,Beverages,Model Town Campus,2,143.22,286.44,269.2536,162.0,32.0
2026-06-03,Usb Flash Drive 32Gb,Electronics,DHA Campus,3,858.68,2576.04,2395.7171999999996,,
2026-06-17,Chicken Patty,Snacks,Model Town Campus,4,59.7,238.8,224.472,165.0,35.0
2026-06-15,Cold Coffee,Beverages,Gulberg Campus,2,115.29,230.58,219.051,174.0,53.0
2026-06-11,Chicken Patty,Snacks,Model Town Campus,3,63.4,190.2,178.78799999999998,165.0,35.0
2026-06-04,Cold Coffee,Beverages,DHA Campus,1,117.56,117.56,109.3308,174.0,53.0
2026-06-25,Potato Chips,Snacks,Gulberg Campus,9,48.47,436.23,414.4185,174.0,21.0
2026-06-10,Potato Chips,Snacks,Gulberg Campus,5,50.09,250.45000000000002,237.9275,174.0,21.0
2026-06-24,Gel Pen Pack,Stationery,DHA Campus,11,77.59,853.49,793.7456999999999,124.0,23.0
2026-06-12,Samosa,Snacks,DHA Campus,6,39.55,237.29999999999998,220.68899999999996,157.0,32.0
2026-06-07,Samosa,Snacks,DHA Campus,8,41.38,331.04,307.8672,157.0,32.0
2026-06-17,Samosa,Snacks,DHA Campus,1,40.56,40.56,37.7208,157.0,32.0
2026-06-30,Cold Coffee,Beverages,Model Town Campus,6,129.3,775.8000000000001,729.2520000000001,174.0,53.0
2026-06-17,Usb Flash Drive 32Gb,Electronics,DHA Campus,4,908.74,3634.96,3380.5128,,
2026-06-24,Energy Drink,Beverages,Gulberg Campus,6,152.62,915.72,869.934,162.0,32.0
2026-06-26,Energy Drink,Beverages,Gulberg Campus,8,158.23,1265.84,1202.5479999999998,162.0,32.0
2026-06-27,Cold Coffee,Beverages,Gulberg Campus,8,124.9,999.2,949.24,174.0,53.0
2026-06-22,Mineral Water 500Ml,Beverages,Model Town Campus,10,48.06,480.6,451.764,,
2026-06-07,Highlighter Set,Stationery,DHA Campus,4,223.85644444444446,895.4257777777779,832.7459733333334,97.0,41.0
2026-06-07,Potato Chips,Snacks,DHA Campus,5,48.66,243.29999999999998,226.26899999999998,174.0,21.0
2026-06-16,Gel Pen Pack,Stationery,DHA Campus,10,80.57545454545455,805.7545454545455,749.3517272727272,124.0,23.0
2026-06-27,Energy Drink,Beverages,Model Town Campus,1,152.4159375,152.4159375,143.27098125,162.0,32.0
2026-06-16,Cold Coffee,Beverages,Model Town Campus,1,125.81,125.81,118.2614,174.0,53.0
2026-06-08,Earphones Basic,Electronics,Gulberg Campus,2,357.83,715.66,679.877,164.0,51.0
2026-06-08,Energy Drink,Beverages,Gulberg Campus,1,145.16,145.16,137.902,162.0,32.0
2026-06-08,Cold Coffee,Beverages,DHA Campus,3,118.0,354.0,329.21999999999997,174.0,53.0
2026-06-29,Gel Pen Pack,Stationery,Model Town Campus,11,86.01,946.11,889.3434,124.0,23.0
2026-06-24,Usb Flash Drive 32Gb,Electronics,Gulberg Campus,8,931.21,7449.68,7077.196,,
2026-06-09,Energy Drink,Beverages,DHA Campus,5,151.42,757.0999999999999,704.1029999999998,162.0,32.0
2026-06-22,Highlighter Set,Stationery,DHA Campus,3,226.85,680.55,632.9114999999999,97.0,41.0
2026-06-26,Energy Drink,Beverages,Model Town Campus,7,155.6,1089.2,1023.848,162.0,32.0
2026-06-25,Earphones Basic,Electronics,Model Town Campus,4,355.90979591836737,1423.6391836734695,1338.2208326530613,164.0,51.0
2026-06-09,Energy Drink,Beverages,Model Town Campus,4,158.07,632.28,594.3431999999999,162.0,32.0
2026-06-27,Highlighter Set,Stationery,Gulberg Campus,3,225.67,677.01,643.1595,97.0,41.0
2026-06-19,Cold Coffee,Beverages,Model Town Campus,2,115.36,230.72,216.87679999999997,174.0,53.0
2026-06-28,Notebook A4,Stationery,DHA Campus,6,158.68,952.08,885.4344,43.0,34.0
2026-06-02,Energy Drink,Beverages,DHA Campus,9,161.24,1451.16,1349.5788,162.0,32.0
2026-06-17,Usb Flash Drive 32Gb,Electronics,Model Town Campus,11,933.1,10264.1,9648.253999999999,,
2026-06-14,Potato Chips,Snacks,DHA Campus,10,48.99,489.90000000000003,455.607,174.0,21.0
2026-06-01,Earphones Basic,Electronics,Model Town Campus,10,336.94,3369.4,3167.236,164.0,51.0
2026-06-06,Highlighter Set,Stationery,Gulberg Campus,3,219.65,658.95,626.0025,97.0,41.0
2026-06-01,Earphones Basic,Electronics,Gulberg Campus,4,355.90979591836737,1423.6391836734695,1352.4572244897959,164.0,51.0
2026-06-21,Potato Chips,Snacks,Gulberg Campus,11,50.58,556.38,528.5609999999999,174.0,21.0
2026-06-16,Gel Pen Pack,Stationery,DHA Campus,2,82.62,165.24,153.6732,124.0,23.0
2026-06-29,Usb Flash Drive 32Gb,Electronics,DHA Campus,3,864.1,2592.3,2410.839,,
2026-06-11,Cold Coffee,Beverages,DHA Campus,3,129.45,388.34999999999997,361.16549999999995,174.0,53.0
2026-06-26,Highlighter Set,Stationery,Gulberg Campus,8,211.98,1695.84,1611.0479999999998,97.0,41.0
2026-06-27,Gel Pen Pack,Stationery,DHA Campus,6,82.71,496.26,461.5218,124.0,23.0
2026-06-01,Gel Pen Pack,Stationery,Model Town Campus,5,77.62,388.1,364.814,124.0,23.0
2026-06-30,Energy Drink,Beverages,Model Town Campus,5,151.73,758.65,713.131,162.0,32.0
2026-06-04,Energy Drink,Beverages,DHA Campus,7,148.15,1037.05,964.4564999999999,162.0,32.0
2026-06-27,Energy Drink,Beverages,Model Town Campus,1,151.95,151.95,142.83299999999997,162.0,32.0
2026-06-20,Samosa,Snacks,DHA Campus,8,42.66,341.28,317.39039999999994,157.0,32.0
2026-06-01,Gel Pen Pack,Stationery,Gulberg Campus,11,80.57545454545455,886.33,842.0135,124.0,23.0
2026-06-13,Chicken Patty,Snacks,Gulberg Campus,1,57.65,57.65,54.7675,165.0,35.0
2026-06-17,Highlighter Set,Stationery,Gulberg Campus,11,225.58,2481.38,2357.311,97.0,41.0
2026-06-05,Energy Drink,Beverages,Gulberg Campus,9,150.37,1353.33,1285.6634999999999,162.0,32.0
2026-06-10,Usb Flash Drive 32Gb,Electronics,Gulberg Campus,10,928.23,9282.3,8818.185,,
2026-06-29,Potato Chips,Snacks,DHA Campus,10,47.7,477.0,443.60999999999996,174.0,21.0
2026-06-28,Gel Pen Pack,Stationery,Gulberg Campus,11,77.92,857.12,814.264,124.0,23.0
2026-06-17,Potato Chips,Snacks,Model Town Campus,11,47.99,527.89,496.21659999999997,174.0,21.0
2026-06-05,Energy Drink,Beverages,Model Town Campus,6,143.14,858.8399999999999,807.3095999999999,162.0,32.0
2026-06-18,Highlighter Set,Stationery,Model Town Campus,6,211.34,1268.04,1191.9576,97.0,41.0
2026-06-02,Mineral Water 500Ml,Beverages,DHA Campus,4,43.83,175.32,163.0476,,
2026-06-20,Highlighter Set,Stationery,Gulberg Campus,1,224.15,224.15,212.9425,97.0,41.0
2026-06-12,Energy Drink,Beverages,Gulberg Campus,5,147.15,735.75,698.9625,162.0,32.0
2026-06-20,Notebook A4,Stationery,Model Town Campus,11,153.65,1690.15,1588.741,43.0,34.0
2026-06-26,Earphones Basic,Electronics,DHA Campus,3,335.49,1006.47,936.0170999999999,164.0,51.0
2026-06-04,Earphones Basic,Electronics,DHA Campus,11,341.74,3759.1400000000003,3496.0002,164.0,51.0
2026-06-25,Cold Coffee,Beverages,DHA Campus,11,114.51,1259.6100000000001,1171.4373,174.0,53.0
2026-06-06,Chicken Patty,Snacks,Gulberg Campus,3,63.68,191.04,181.48799999999997,165.0,35.0
2026-06-22,Energy Drink,Beverages,Gulberg Campus,9,155.82,1402.3799999999999,1332.2609999999997,162.0,32.0
2026-06-08,Usb Flash Drive 32Gb,Electronics,Model Town Campus,10,949.7,9497.0,8927.18,,
2026-06-12,Samosa,Snacks,Model Town Campus,5,41.91,209.54999999999998,196.97699999999998,157.0,32.0
2026-06-01,Earphones Basic,Electronics,Model Town Campus,4,359.45,1437.8,1351.532,164.0,51.0
2026-06-10,Usb Flash Drive 32Gb,Electronics,DHA Campus,1,906.76,906.76,843.2868,,
2026-06-13,Mineral Water 500Ml,Beverages,Model Town Campus,5,44.11,220.55,207.317,,
2026-06-06,Notebook A4,Stationery,DHA Campus,9,155.44,1398.96,1301.0328,43.0,34.0
2026-06-09,Chicken Patty,Snacks,Model Town Campus,3,61.97,185.91,174.75539999999998,165.0,35.0
2026-06-27,Chicken Patty,Snacks,Model Town Campus,9,61.1580487804878,550.4224390243902,517.3970926829268,165.0,35.0
2026-06-27,Cold Coffee,Beverages,DHA Campus,5,119.33,596.65,554.8844999999999,174.0,53.0
2026-06-04,Samosa,Snacks,Gulberg Campus,6,42.58,255.48,242.706,157.0,32.0
2026-06-27,Usb Flash Drive 32Gb,Electronics,DHA Campus,1,956.61,956.61,889.6473,,
2026-06-05,Gel Pen Pack,Stationery,Model Town Campus,1,83.57,83.57,78.55579999999999,124.0,23.0
2026-06-09,Cold Coffee,Beverages,DHA Campus,4,120.42,481.68,447.9624,174.0,53.0
2026-06-06,Energy Drink,Beverages,Model Town Campus,2,158.84,317.68,298.6192,162.0,32.0
2026-06-20,Energy Drink,Beverages,Gulberg Campus,4,159.09,636.36,604.542,162.0,32.0
2026-06-09,Potato Chips,Snacks,Model Town Campus,3,52.67,158.01,148.52939999999998,174.0,21.0
2026-06-15,Highlighter Set,Stationery,DHA Campus,5,225.74,1128.7,1049.691,97.0,41.0
2026-06-03,Highlighter Set,Stationery,DHA Campus,5,223.85644444444446,1119.2822222222223,1040.9324666666666,97.0,41.0
2026-06-19,Earphones Basic,Electronics,DHA Campus,5,349.02,1745.1,1622.9429999999998,164.0,51.0
2026-06-25,Potato Chips,Snacks,DHA Campus,11,48.42,532.62,495.3366,174.0,21.0
2026-06-17,Chicken Patty,Snacks,DHA Campus,2,61.84,123.68,115.0224,165.0,35.0
2026-06-10,Usb Flash Drive 32Gb,Electronics,Model Town Campus,1,922.3782692307692,922.3782692307692,867.035573076923,,
2026-06-13,Chicken Patty,Snacks,Model Town Campus,9,61.62,554.5799999999999,521.3051999999999,165.0,35.0
2026-06-05,Cold Coffee,Beverages,DHA Campus,1,129.24,129.24,120.1932,174.0,53.0
2026-06-29,Cold Coffee,Beverages,Gulberg Campus,5,121.55,607.75,577.3625,174.0,53.0
2026-06-02,Earphones Basic,Electronics,DHA Campus,2,350.48,700.96,651.8928,164.0,51.0
2026-06-27,Notebook A4,Stationery,Gulberg Campus,6,157.59,945.54,898.2629999999999,43.0,34.0
2026-06-27,Usb Flash Drive 32Gb,Electronics,Model Town Campus,3,924.06,2772.18,2605.8491999999997,,
2026-06-15,Usb Flash Drive 32Gb,Electronics,Model Town Campus,5,971.61,4858.05,4566.567,,
2026-06-21,Gel Pen Pack,Stationery,Model Town Campus,8,84.61,676.88,636.2672,124.0,23.0
2026-06-16,Earphones Basic,Electronics,Model Town Campus,2,348.8,697.6,655.744,164.0,51.0
2026-06-05,Cold Coffee,Beverages,Model Town Campus,7,124.49,871.43,819.1442,174.0,53.0
2026-06-04,Earphones Basic,Electronics,Gulberg Campus,4,373.11,1492.44,1417.818,164.0,51.0
2026-06-30,Energy Drink,Beverages,DHA Campus,2,152.69,305.38,284.0034,162.0,32.0
2026-06-08,Earphones Basic,Electronics,Gulberg Campus,5,341.19,1705.95,1620.6525,164.0,51.0
